OT;NV/GOM;DIRECCION;CONTRATISTA;COMUNA;ZONAL;ITO;FECHA_INSPECCION;TIPO_TRABAJO;SUPERVISOR;HAY HALLAZGO;INCIDENCIA;NOMBRE DE INCIDENCIA;TIPO;HALLAZGO;OBSERVACION;TOTAL_HALLAZGO;MES;AÑO;TIPO_OBRA
2816197;NV;LO OVALLE 0330 AVANCE 2;BUREAU VERITAS;LA CISTERNA;FLORIDA;JAIME SOTO;2021-07-19;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;;;0;JULIO;2021;OO.CC
38252;ID;ECHEÑIQUE 8387;ENERPA;LA REINA;FLORIDA;JAIME SOTO;2021-08-10;SUBTERRÁNEA;HÉCTOR VENEGAS;NO;;;;PENDIENTE EJECUTAR REPOSICION DE PAVIMENTOS;;0;AGOSTO;2021;OO.CC
2867770;NV;ALMAHUE N° 6424;BUREAU VERITAS (ESPECTRO);LA FLORIDA;FLORIDA;JAIME SOTO;2021-08-18;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;;;0;AGOSTO;2021;OO.CC
2843020;NV;RODRIGO DE ARAYA 3280;ENERPA;ÑUÑOA;FLORIDA;JAIME SOTO;2021-08-23;SUBTERRÁNEA;ISADU NILO;NO;;;;ENFIERRADURA A LA VISTA EN LOSA SUPERIOR;SE DIO SOLUCION EL MISMO DIA;0;AGOSTO;2021;OO.CC
177219;ID;SANTA VICTORIA 9448 N°2;BUREAU VERITAS (SCN);LA FLORIDA;FLORIDA;JAIME SOTO;2021-09-01;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;PENDIENTE TERMINACION DE BOQUILLAS;SE DIO SOLUCION EL MISMO DIA;0;SEPTIEMBRE;2021;OO.CC
2878542;NV;ALVARO CASANOVA 4172;BUREAU VERITAS (EMYLEC);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-09-06;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;CALZADA ORIENTE PENDIENTE EJECUCION DE SELLO DE REPOSICION FINAL;AVANCE N°2 ;0;SEPTIEMBRE;2021;OO.CC
2878542;NV;ALVARO CASANOVA 4172;BUREAU VERITAS (EMYLEC);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-09-06;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;PENDIENTE CORTES DE ACERAS DE HORMIGON.;;0;SEPTIEMBRE;2021;OO.CC
2878542;NV;ALVARO CASANOVA 4172;BUREAU VERITAS (EMYLEC);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-09-06;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;PENDIENTE INSTALACION DE LOGOS DE CAMARAS.;;0;SEPTIEMBRE;2021;OO.CC
2878542;NV;ALVARO CASANOVA 4172;BUREAU VERITAS (EMYLEC);PEÑALOLÉN;FLORIDA;JAIME SOTO;2021-09-06;SUBTERRÁNEA;BRIAN PONCE DE LEÓN;NO;;;;REPOSICION DE CALZADA CON OBSERVACIONES, DESNIVEL DE REPOSICION NUEVA;;0;SEPTIEMBRE;2021;OO.CC
15489;PI;JUAN MOYA MORALES 332;BUREAU VERITAS (SCN);ÑUÑOA;FLORIDA;JAIME SOTO;2021-09-08;SUBTERRÁNEA;LUIS SANDOVAL;NO;;;;;;0;SEPTIEMBRE;2021;OO.CC
